customer_id,first_name,last_name,rental_date,rental_order
1,MARY,SMITH,"2005-05-25 11:30:37",1
1,MARY,SMITH,"2005-05-28 10:35:23",2
1,MARY,SMITH,"2005-06-15 00:54:12",3
1,MARY,SMITH,"2005-06-15 18:02:53",4
1,MARY,SMITH,"2005-06-15 21:08:46",5
1,MARY,SMITH,"2005-06-16 15:18:57",6
1,MARY,SMITH,"2005-06-18 08:41:48",7
1,MARY,SMITH,"2005-06-18 13:33:59",8
1,MARY,SMITH,"2005-06-21 06:24:45",9
1,MARY,SMITH,"2005-07-08 03:17:05",10
1,MARY,SMITH,"2005-07-08 07:33:56",11
1,MARY,SMITH,"2005-07-09 13:24:07",12
1,MARY,SMITH,"2005-07-09 16:38:01",13
1,MARY,SMITH,"2005-07-11 10:13:46",14
1,MARY,SMITH,"2005-07-27 11:31:22",15
1,MARY,SMITH,"2005-07-28 09:04:45",16
1,MARY,SMITH,"2005-07-28 16:18:23",17
1,MARY,SMITH,"2005-07-28 17:33:39",18
1,MARY,SMITH,"2005-07-28 19:20:07",19
1,MARY,SMITH,"2005-07-29 03:58:49",20
1,MARY,SMITH,"2005-07-31 02:42:18",21
1,MARY,SMITH,"2005-08-01 08:51:04",22
1,MARY,SMITH,"2005-08-02 15:36:52",23
1,MARY,SMITH,"2005-08-02 18:01:38",24
1,MARY,SMITH,"2005-08-17 12:37:54",25
1,MARY,SMITH,"2005-08-18 03:57:29",26
1,MARY,SMITH,"2005-08-19 09:55:16",27
1,MARY,SMITH,"2005-08-19 13:56:54",28
1,MARY,SMITH,"2005-08-21 23:33:57",29
1,MARY,SMITH,"2005-08-22 01:27:57",30
1,MARY,SMITH,"2005-08-22 19:41:37",31
1,MARY,SMITH,"2005-08-22 20:03:46",32
2,PATRICIA,JOHNSON,"2005-05-27 00:09:24",1
2,PATRICIA,JOHNSON,"2005-06-17 20:54:58",2
2,PATRICIA,JOHNSON,"2005-07-10 06:31:24",3
2,PATRICIA,JOHNSON,"2005-07-10 12:38:56",4
2,PATRICIA,JOHNSON,"2005-07-27 14:30:42",5
2,PATRICIA,JOHNSON,"2005-07-27 15:23:02",6
2,PATRICIA,JOHNSON,"2005-07-27 18:40:20",7
2,PATRICIA,JOHNSON,"2005-07-29 00:12:59",8
2,PATRICIA,JOHNSON,"2005-07-29 12:56:59",9
2,PATRICIA,JOHNSON,"2005-07-29 17:14:29",10
2,PATRICIA,JOHNSON,"2005-07-30 06:06:10",11
2,PATRICIA,JOHNSON,"2005-07-30 13:47:43",12
2,PATRICIA,JOHNSON,"2005-07-30 14:14:11",13
2,PATRICIA,JOHNSON,"2005-07-30 16:21:13",14
2,PATRICIA,JOHNSON,"2005-07-30 22:39:53",15
2,PATRICIA,JOHNSON,"2005-07-31 21:58:56",16
2,PATRICIA,JOHNSON,"2005-08-01 09:45:26",17
2,PATRICIA,JOHNSON,"2005-08-02 02:10:56",18
2,PATRICIA,JOHNSON,"2005-08-02 07:41:41",19
2,PATRICIA,JOHNSON,"2005-08-02 10:43:48",20
2,PATRICIA,JOHNSON,"2005-08-02 13:44:53",21
2,PATRICIA,JOHNSON,"2005-08-17 03:52:18",22
2,PATRICIA,JOHNSON,"2005-08-19 06:26:04",23
2,PATRICIA,JOHNSON,"2005-08-21 13:24:32",24
2,PATRICIA,JOHNSON,"2005-08-21 22:41:56",25
2,PATRICIA,JOHNSON,"2005-08-22 13:53:04",26
2,PATRICIA,JOHNSON,"2005-08-23 17:39:35",27
3,LINDA,WILLIAMS,"2005-05-27 17:17:09",1
3,LINDA,WILLIAMS,"2005-05-29 22:43:55",2
3,LINDA,WILLIAMS,"2005-06-16 01:34:05",3
3,LINDA,WILLIAMS,"2005-06-16 15:19:10",4
3,LINDA,WILLIAMS,"2005-06-17 05:15:15",5
3,LINDA,WILLIAMS,"2005-06-19 08:34:53",6
3,LINDA,WILLIAMS,"2005-07-07 10:23:25",7
3,LINDA,WILLIAMS,"2005-07-08 12:47:11",8
3,LINDA,WILLIAMS,"2005-07-27 04:54:42",9
3,LINDA,WILLIAMS,"2005-07-27 20:23:12",10
3,LINDA,WILLIAMS,"2005-07-28 03:59:21",11
3,LINDA,WILLIAMS,"2005-07-28 04:46:30",12
3,LINDA,WILLIAMS,"2005-07-28 11:46:45",13
3,LINDA,WILLIAMS,"2005-07-28 18:17:14",14
3,LINDA,WILLIAMS,"2005-07-29 11:07:04",15
3,LINDA,WILLIAMS,"2005-07-30 13:31:20",16
